Ref,Val,Package,PosX,PosY,Rot,Side
"G***","LOGO","pcb way logo",-39.250000,46.000000,180.000000,bottom
"C1","10uF","CP_Radial_D5.0mm_P2.50mm",18.000000,64.000000,90.000000,top
"C2","10uF","CP_Radial_D5.0mm_P2.50mm",86.250000,60.750000,180.000000,top
"C3","100nF","C_Disc_D3.8mm_W2.6mm_P2.50mm",84.250000,66.500000,90.000000,top
"C4","10uF","CP_Radial_D5.0mm_P2.50mm",90.000000,56.000000,0.000000,top
"C5","10uF","CP_Radial_D5.0mm_P2.50mm",67.750000,67.500000,-90.000000,top
"C6","100nF","C_Disc_D3.8mm_W2.6mm_P2.50mm",18.500000,36.000000,180.000000,top
"C7","100nF","C_Disc_D3.8mm_W2.6mm_P2.50mm",15.250000,58.500000,0.000000,top
"C8","100nF","C_Disc_D3.8mm_W2.6mm_P2.50mm",61.900000,13.600000,0.000000,top
"C9","100nF","C_Disc_D3.8mm_W2.6mm_P2.50mm",61.700000,35.900000,0.000000,top
"C10","100nF","C_Disc_D3.8mm_W2.6mm_P2.50mm",70.000000,31.500000,-90.000000,top
"C11","100nF","C_Disc_D3.8mm_W2.6mm_P2.50mm",83.575000,26.400000,90.000000,top
"D1","LED_Small_ALT","LED_D5.0mm",25.250000,60.000000,180.000000,top
"J1","Conn_02x16_Odd_Even","PinHeader_2x16_P2.54mm_Vertical",6.000000,55.000000,0.000000,top
"J2","Conn_01x05","PinHeader_1x05_P2.54mm_Vertical",93.922080,49.929380,0.000000,top
"J3","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical",58.000000,66.250000,0.000000,top
"J4","Conn_02x16_Odd_Even","PinHeader_2x16_P2.54mm_Vertical",59.100000,10.250000,-90.000000,top
"JP1","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",78.550000,10.700000,0.000000,top
"JP2","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",74.975000,10.700000,0.000000,top
"JP3","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",88.355940,21.995880,90.000000,top
"JP4","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",88.353400,19.260300,90.000000,top
"JP5","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",88.355940,16.598380,90.000000,top
"R1","10K","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",83.500000,4.750000,90.000000,top
"R2","10K","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",69.750000,4.750000,90.000000,top
"R3","10K","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",83.500000,39.311560,-90.000000,top
"R4","10K","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",93.500000,34.250000,-90.000000,top
"R5","10K","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",90.250000,34.250000,-90.000000,top
"R6","10K","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",87.000000,34.250000,-90.000000,top
"R7","10K","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",29.500000,60.000000,0.000000,top
"U1","ICL7660","DIP-8_W7.62mm_Socket_LongPads",72.500000,69.000000,0.000000,top
"U2","MT8816","DIP-40_W15.24mm_Socket_LongPads",16.000000,16.975000,90.000000,top
"U3","MT8816","DIP-40_W15.24mm_Socket_LongPads",16.000000,39.525000,90.000000,top
"U4","MCP23017_SP","DIP-28_W7.62mm",73.000000,52.000000,0.000000,top
